PubIssueID,Title,NA Gaps,First Volume,Last Volume
sim_acta-amazonica,Acta Amazonica,,1971.0,1995.0
sim_acta-apostolicae-sedis,Acta Apostolicae Sedis,,1909.0,2015.0
sim_acta-astronautica,Acta Astronautica,,1974.0,1994.0
sim_acta-audiologica-y-foniatrica-hispanoamericana,Acta Audiologica y Foniatrica Hispanoamericana,,1972.0,1972.0
sim_acta-biologica-venezuelica,Acta Biologica Venezuelica,,1975.0,1978.0
sim_acta-botanica-neerlandica,Acta Botanica Neerlandica,1989; ,1987.0,1990.0
sim_acta-cytologica,Acta Cytologica,1971; 1972; 1973; 1974; 1975; 1976; 1977; 1978; 1979; 1980; 1981; 1982; ,1957.0,2015.0
sim_acta-diabetologica,Acta Diabetologica,1980; 1981; 1982; 1983; ,1977.0,1991.0
sim_acta-haematologica,Acta Haematologica,,1966.0,1974.0
sim_acta-histochemica-et-cytochemica,Acta Histochemica et Cytochemica,,1972.0,1991.0
sim_acta-informatica,Acta Informatica,,1971.0,2000.0
sim_acta-materialia,Acta Materialia,,1953.0,2002.0
sim_acta-mechanica,Acta Mechanica,1994; 1995; 1996; 1997; 1998; 1999; 2000; ,1991.0,2005.0
sim_acta-mechanica-solida-sinica,Acta Mechanica Solida Sinica,,1988.0,1993.0
sim_acta-medica-del-valle,Acta Medica del Valle,,,
sim_acta-meteorologica-sinica-chi-hsiang-hsueh-pao,Acta Meteorologica Sinica (Chi Hsiang Hsueh Pao),,1989.0,1993.0
sim_acta-neurochirurgica,Acta Neurochirurgica,,1985.0,1998.0
sim_acta-neurologica-belgica,Acta Neurologica Belgica,,1975.0,1980.0
sim_acta-neuropathologica,Acta Neuropathologica,1997; ,1981.0,2000.0
sim_acta-obstetricia-et-gynecologica-scandinavica,Acta Obstetricia et Gynecologica Scandinavica,,1973.0,1991.0
sim_acta-oceanologica-sinica-hai-yang-hsueh-pao,Acta Oceanologica Sinica (Hai Yang Hsueh Pao),,1985.0,1993.0
sim_acta-odontologica-scandinavica,Acta Odontologica Scandinavica,1999; ,1998.0,2000.0
sim_acta-oncologica,Acta Oncologica,,1970.0,2007.0
sim_acta-orthopaedica,Acta Orthopaedica,,2003.0,2003.0
sim_acta-paediatrica,Acta Paediatrica,,1921.0,2013.0
sim_acta-pharmaceutica-nordica,Acta Pharmaceutica Nordica,,1989.0,1992.0
sim_acta-pharmaceutica-suecica,Acta Pharmaceutica Suecica,,1977.0,1988.0
sim_acta-physiologica,Acta Physiologica,,1954.0,2009.0
sim_acta-physiologica-pharmacologica-et-therapeutica,"Acta Physiologica, Pharmacologica et Therapeutica Latinoamericana : Organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia",1984; 1985; 1986; 1987; 1988; ,1950.0,1996.0
sim_acta-polytechnica-scandinavica-applied-physics-series-ph,Acta Polytechnica Scandinavica.   Applied Physics Series Ph,,1958.0,1994.0
sim_acta-polytechnica-scandinavica-chemical-technology,Acta Polytechnica Scandinavica.   Chemical Technology Series,1997; ,1958.0,2001.0
sim_acta-polytechnica-scandinavica-civil-engineering,Acta Polytechnica Scandinavica.   Civil Engineering and Building Construction Series,1974; 1975; 1977; 1979; 1980; 1981; 1983; ,1958.0,1988.0
sim_acta-polytechnica-scandinavica-electrical-engineering,Acta Polytechnica Scandinavica.   Electrical Engineering Series,1979; 1997; ,1958.0,2001.0
sim_acta-polytechnica-scandinavica-mathematics,Acta Polytechnica Scandinavica.   Mathematics and Computing in Engineering Series,1972; 1973; 1974; 1977; 1991; 1992; 1997; ,1958.0,2002.0
sim_acta-polytechnica-scandinavica-mechanical-engineering,Acta Polytechnica Scandinavica.   Mechanical Engineering Series,1974; 1977; 1986; 1987; 1997; ,1958.0,2001.0
sim_acta-psychologica,Acta Psychologica,1938; 1940; 1942; 1943; 1944; 1945; 1946; 1947; 1948; 1957; ,1935.0,2009.0
sim_acta-radiologica,Acta Radiologica,,1921.0,2008.0
sim_acta-sanctae-sedis-ephemerides-romanae,Acta Sanctae Sedis; Ephemerides Romanae a SSMO D. N. Pio PP. X Authenticae et Officales Apostolicae Sedis Actis Publice Evulgandis Declaratae,1868; ,1865.0,1908.0
sim_acta-scientiarum-mathematicarum,Acta Scientiarum Mathematicarum,,1976.0,1996.0
sim_acta-seismologica-sinica,Acta Seismologica Sinica,,1989.0,1992.0
sim_acta-societatis-botanicorum-poloniae,Acta Societatis Botanicorum Poloniae,,,
sim_acta-sociologica,Acta Sociologica,,1983.0,2000.0
sim_acta-tropica,Acta Tropica,1992; 1994; ,1991.0,1998.0
sim_acta-vitaminologica-et-enzymologica,Acta Vitaminologica et Enzymologica,1973; ,1947.0,1985.0
sim_acta-zoologica,Acta Zoologica,,1920.0,1997.0
sim_acta-zoologica-et-pathologica-antverpiensia,Acta Zoologica et Pathologica Antverpiensia,,1974.0,1980.0
sim_action,Action,,1974.0,1992.0
sim_action-in-teacher-education,Action in Teacher Education,,1978.0,2015.0
sim_action-magazine,Action,,1966.0,1975.0
sim_activist,Activist,,1960.0,1975.0
sim_activist-1969,Activist,,1969.0,1971.0
sim_activities-adaptation-aging,"Activities, Adaptation & Aging",,1984.0,2011.0
sim_actuarial-review,Actuarial Review,,1991.0,1994.0
sim_ad,A.D.,,1972.0,1983.0
sim_ad-astra,Ad Astra,,1989.0,2016.0
sim_ad-forum,Ad Forum,,1982.0,1985.0
sim_add-automotive-design-development,"AD&D, Automotive Design & Development",1975; ,1973.0,1980.0
sim_addiction,Addiction,1986; 1987; 1988; 1989; 1990; 1991; 1992; ,1982.0,2014.0
sim_addictive-behaviors,Addictive Behaviors,,1975.0,2011.0
sim_adelaide-law-review,Adelaide Law Review,1976; 1979; 1981; ,1973.0,2000.0
sim_adelphi-series,Adelphi [Series],1992; 1999; ,1963.0,2011.0
sim_adherent,Adherent,,1978.0,1983.0
sim_adhesives-abstracts,Adhesives Abstracts,,1988.0,1991.0
sim_adhesives-age,Adhesives Age,,1958.0,1997.0
sim_adl-on-the-frontline,ADL on the Frontline,,1991.0,2012.0
sim_administration-and-policy-in-mental-health,Administration and Policy in Mental Health,,1972.0,2016.0
sim_administration-society,Administration & Society,,1969.0,2015.0
sim_administrative-management,Administrative Management,,1940.0,1988.0
sim_administrative-science-quarterly,Administrative Science Quarterly,,1956.0,2016.0
sim_administrators-notebook,Administrator's Notebook,1986; 1988; 1994; ,1952.0,1995.0
sim_administrators-swap-shop,Administrators Swap Shop,,1971.0,1978.0
sim_adolescence,Adolescence,,1966.0,2009.0
sim_adolescent-psychiatry,Adolescent Psychiatry,1986; 1991; 1994; 1996; 2001; ,1979.0,2005.0
sim_adoption-quarterly,Adoption Quarterly,2006; 2007; ,1998.0,2009.0
sim_adult-basic-education,Adult Basic Education,,1991.0,2006.0
sim_adult-basic-education-and-literacy-journal,Adult Basic Education and Literacy Journal,,2007.0,2011.0
sim_adult-education,Adult Education,,1926.0,1989.0
sim_adult-education-quarterly,Adult Education Quarterly,,1950.0,2015.0
sim_adult-leader,Adult Leader,,1968.0,1980.0
sim_adult-leadership,Adult Leadership,,1952.0,1977.0
sim_adult-learning-1936,Adult Learning,,1936.0,1939.0
sim_adult-learning-1989,Adult Learning,2000; ,1989.0,2015.0
sim_adult-literacy-basic-education,Adult Literacy & Basic Education,,1977.0,1990.0
sim_adult-residential-care-journal,Adult Residential Care Journal,,1987.0,1996.0
sim_adult-services,Adult Services,,1961.0,1972.0
sim_adult-teacher,Adult Teacher,,1947.0,1968.0
sim_adults-learning,Adults Learning,2011; 2012; ,1989.0,2014.0
sim_advance,Advance,1974; ,1973.0,1975.0
sim_advanced-drug-delivery-reviews,Advanced Drug Delivery Reviews,,1996.0,2006.0
sim_advanced-emergency-nursing-journal,Advanced Emergency Nursing Journal,,1979.0,2013.0
sim_advanced-functional-materials,Advanced Functional Materials,,1992.0,1993.0
sim_advanced-imaging,Advanced Imaging,,1993.0,1996.0
sim_advanced-manufacturing-engineering-ame,Advanced Manufacturing Engineering: AME,,1988.0,1991.0
sim_advanced-materials-abstracts,Advanced Materials Abstracts,,1989.0,1991.0
sim_advanced-materials-processes,Advanced Materials & Processes,,1985.0,1986.0
sim_advanced-practice-nursing-quarterly,Advanced Practice Nursing Quarterly,,1995.0,1998.0
sim_advanced-technology-libraries,Advanced Technology Libraries,,1972.0,2014.0
sim_advancement-of-science,The Advancement of Science,,1939.0,1971.0
sim_advances-in-behaviour-research-and-therapy,Advances in Behaviour Research and Therapy,,1977.0,1994.0
sim_advances-in-biological-regulation,Advances in Biological Regulation,,1963.0,1996.0
sim_advances-in-chemical-physics,Advances in Chemical Physics,,1958.0,9999.0
sim_advances-in-colloid-and-interface-science,Advances in Colloid and Interface Science,,1967.0,2000.0
sim_advances-in-contraception,Advances in Contraception,,1989.0,1999.0
sim_advances-in-enzymology-and-related-areas-of-molecular-biology,Advances in Enzymology and Related Areas of Molecular Biology,,1967.0,9999.0
sim_advances-in-free-radical-biology-and-medicine,Advances in Free Radical Biology and Medicine,,1985.0,1986.0
sim_advances-in-neuroimmunology,Advances in Neuroimmunology,,1991.0,1993.0
sim_advances-in-physics,Advances in Physics,,1992.0,2002.0
sim_advances-in-physiology-education,Advances in Physiology Education,,1998.0,2007.0
sim_advances-in-polymer-technology,Advances in Polymer Technology,,1981.0,2012.0
sim_advances-in-space-research,Advances in Space Research,1996; 1997; 1998; 1999; 2000; ,1981.0,2005.0
sim_advances-in-thanatology,Advances in Thanatology,1973; 1974; 1976; 1978; 1979; ,1971.0,1996.0
sim_advances-in-the-biosciences,Advances in the Biosciences,1975; 1976; 1977; 1991; ,1967.0,1992.0
sim_advances-in-tunnelling-technology-and-subsurface-use,Advances in Tunnelling Technology and Subsurface Use (Developpement Des Travaux en Souterrain),,1981.0,1984.0
sim_advances-in-water-resources,Advances in Water Resources,,2002.0,2005.0
sim_advancing-clinical-care,Advancing Clinical Care,,1986.0,1991.0
sim_adventist-heritage,Adventist Heritage,1980; 1981; ,1974.0,1996.0
sim_adverse-drug-reaction-bulletin,Adverse Drug Reaction Bulletin,,1973.0,2008.0
sim_advertisers-weekly,Advertiser's Weekly,,1950.0,1956.0
sim_advertising-age,Advertising Age,,1930.0,2016.0
sim_advertising-research-foundation-annual-conference,Advertising Research Foundation. Annual Conference Proceedings,,1975.0,1977.0
sim_adviser-or-vermont-evangelical-magazine,"Adviser, Or, Vermont Evangelical Magazine",,1809.0,1815.0
sim_advisor-today,Advisor Today,,1980.0,2003.0
sim_advocate,The Advocate,,1999.0,2015.0
sim_advocate-of-peace-and-christian-patriot,Advocate of Peace and Christian Patriot,,1828.0,1829.0
sim_advocate-of-science-a-popular-scientific-journal,"Advocate of Science, a Popular Scientific Journal",,1833.0,1834.0
sim_advocate-of-science-and-annals-of-natural-history,Advocate of Science and Annals of Natural History,,1834.0,1835.0
sim_adweek,Adweek,,1985.0,2015.0
sim_adweek-magazines-technology-marketing,Adweek Magazines' Technology Marketing,1999; ,1994.0,2003.0
sim_aea-advocate,AEA Advocate,1979; 1982; 1983; 1984; 1985; 1986; 1987; 1988; ,1974.0,1997.0
sim_aedc-journal,AEDC Journal,,1966.0,1981.0
sim_aequationes-mathematicae,Aequationes Mathematicae,,1989.0,1996.0
sim_aeronaut-a-periodical-paper,"Aeronaut, a Periodical Paper, by an Association of Gentlemen",,1816.0,1822.0
sim_aeronautical-journal,The Aeronautical Journal,,1897.0,2015.0
sim_aeronautical-quarterly,The Aeronautical Quarterly,,1949.0,1983.0
sim_aeroplane,The Aeroplane,,1958.0,1968.0
sim_aeroplane-monthly,Aeroplane Monthly,1975; 1976; ,1974.0,1991.0
sim_aerosol-age,Aerosol Age,,1956.0,1991.0
sim_aerosol-science-and-technology,Aerosol Science and Technology,1987; 1988; 1990; ,1982.0,1996.0
sim_aerospace,Aerospace,,1963.0,1987.0
sim_aerospace-america,Aerospace America,,1963.0,2015.0
sim_aerospace-engineering,Aerospace Engineering,,1986.0,2000.0
sim_aerospace-engineering-1942,Aerospace Engineering,,1942.0,1963.0
sim_aerospace-facts,Aerospace Facts,1974; ,1965.0,1979.0
sim_aerospace-international-de,Aerospace International,,1972.0,1981.0
sim_aerospace-international-uk,Aerospace International,,1977.0,1996.0
sim_aerospace-management-1958,Aerospace Management,,1958.0,1964.0
sim_aerospace-management-1966,Aerospace Management,,1966.0,1971.0
sim_aerospace-medicine-and-biology,Aerospace Medicine and Biology,,1974.0,1979.0
sim_aerospace-medicine-and-biology-an-annotated-bibliography,Aerospace Medicine and Biology: An Annotated Bibliography,,1952.0,1963.0
sim_aerospace-medicine-and-human-performance,Aerospace Medicine and Human Performance,,1975.0,2015.0
sim_aerospace-technology,Aerospace Technology,,1967.0,1968.0
sim_aerztliche-praxis,Aerztliche Praxis,,1977.0,1979.0
sim_aes-journal-of-the-audio-engineering-society,"AES : Journal of the Audio Engineering Society, audio.acoustics.applications",2012; 2013; 2014; ,1953.0,2015.0
sim_aesculapian-register,Aesculapian Register,,1824.0,1824.0
sim_aesthetic-plastic-surgery,Aesthetic Plastic Surgery,1994; 1995; ,1981.0,1996.0
sim_aesthetic-surgery-journal,Aesthetic Surgery Journal,,1998.0,2003.0
sim_affarsvarlden,Affarsvarlden,,1977.0,1979.0
sim_affilia,Affilia,,1988.0,2015.0
sim_afl-cio-afl-cio-news,AFL-CIO. AFL-CIO News,,1955.0,1996.0
sim_afl-cio-american-federationist,The AFL-CIO American Federationist,,1894.0,1982.0
sim_afl-cio-proceedings,AFL-CIO. Proceedings,1962; 1968; 1970; 1972; 1974; 1976; 1978; 1980; 1982; 1984; 1986; 1988; 1990; 1992; 1994; ,1955.0,1995.0
sim_afl-cio-publications,A F L-C I O Publications,1982; ,1956.0,1994.0
sim_afp-exchange,AFP Exchange,,1990.0,1998.0
sim_africa,Africa,,1971.0,1986.0
sim_africa-currents,Africa Currents,,1975.0,1981.0
sim_africa-digest,Africa Digest,,1952.0,1974.0
sim_africa-insight,Africa Insight,,1979.0,2011.0
sim_africa-institute-bulletin,Africa Institute. Bulletin,,1963.0,1978.0
sim_africa-letter,Africa Letter,,1971.0,1972.0
sim_africa-missionary-sisters,Africa,,1931.0,1969.0
sim_africa-quarterly,Africa Quarterly,,1961.0,2012.0
sim_africa-report,Africa Report,,1956.0,1995.0
sim_africa-theological-journal,Africa Theological Journal,,1985.0,1993.0
sim_africa-today,Africa Today,,1966.0,2014.0
sim_africa-uk,Africa,,1985.0,2011.0
sim_african-affairs,African Affairs,,1984.0,2014.0
sim_african-american-review,African American Review,2010; ,1967.0,2015.0
sim_african-arts,African Arts,,1967.0,2015.0
sim_african-books-newsletter,African Books Newsletter,,1966.0,1974.0
sim_african-business,African Business,,1978.0,2011.0
sim_african-commentary,African Commentary,,1989.0,1990.0
sim_african-communist,African Communist,,1973.0,2002.0
sim_african-intelligencer,African Intelligencer,,1820.0,1820.0
sim_african-journal-of-ecology,African Journal of Ecology,1995; 1996; 1997; 1999; 2000; 2001; 2002; 2003; 2004; 2005; ,1979.0,2006.0
sim_african-journal-of-medicine-and-medical-sciences,African Journal of Medicine and Medical Sciences,1989; ,1980.0,1990.0
sim_african-journal-of-tropical-hydrobiology-and-fisheries,African Journal of Tropical Hydrobiology and Fisheries,,1971.0,1972.0
sim_african-repository,The African Repository,,1825.0,1892.0
sim_african-scholar,The African Scholar,,1968.0,1970.0
sim_african-studies-review,African Studies Review,,1989.0,2013.0
sim_african-wildlife,African Wildlife,,1977.0,1996.0
sim_africana-notes-and-news-africana-aantekeninge,Africana Notes and news.Africana Aantekeninge,,1976.0,1979.0
sim_afrique-exploree-et-civilisee,Afrique Exploree et Civilisee,,1880.0,1894.0
sim_afrique-magazine,Afrique Magazine,,1989.0,
sim_afriscope,Afriscope,1980; ,1974.0,1982.0
sim_afro-americana,Afro-Americana,,1969.0,1970.0
sim_afro-hispanic-review,Afro - Hispanic Review,,1991.0,2013.0
sim_after-dark,After Dark,,1960.0,1983.0
sim_after-work-home-reading-for-the-family-circle,After Work; Home Reading for the Family Circle,,1874.0,1887.0
sim_afterimage,Afterimage,1976; 1977; 1978; 1979; 1980; 1981; 1982; 1983; 1984; 1985; ,1972.0,2016.0
sim_afva-evaluations,AFVA Evaluations,1986; ,1973.0,1992.0
sim_ag-chem-commercial-fertilizer,Ag Chem & Commercial Fertilizer,,1946.0,1973.0
sim_ag-consultant,Ag Consultant,,1961.0,1999.0
sim_age-and-ageing,Age and Ageing,,1985.0,2013.0
sim_ageing-and-society,Ageing and Society,,1987.0,2015.0
sim_agency-sales,Agency Sales,2013; ,1973.0,2015.0
sim_agenda,Agenda,2001; 2003; ,1959.0,2009.0
sim_agexporter,AgExporter,,1989.0,2004.0
sim_aggression-and-violent-behavior,Aggression and Violent Behavior,,1996.0,2006.0
sim_aging,Aging,1986; 1995; ,1951.0,1996.0
sim_aging-and-work,Aging and Work,,1978.0,1984.0
sim_aging-today,Aging Today,,2006.0,2007.0
sim_agitator,Agitator,,1961.0,1967.0
sim_agri-practice,Agri-Practice,,1980.0,1981.0
sim_agribusiness,Agribusiness,,1985.0,2001.0
sim_agricultura,Agricultura,1979; 1980; 1981; 1982; 1983; 1984; 1985; 1986; 1987; 1988; ,1975.0,1989.0
sim_agricultural-administration-and-extension,Agricultural Administration and Extension,,1974.0,1988.0
sim_agricultural-and-forest-meteorology,Agricultural and Forest Meteorology,,1964.0,1999.0
sim_agricultural-economics,Agricultural Economics,,1987.0,1996.0
sim_agricultural-education-magazine,The Agricultural Education Magazine,,1929.0,2015.0
sim_agricultural-engineering,Agricultural Engineering,,1920.0,1994.0
sim_agricultural-finance-review,Agricultural Finance Review,1975; 1999; ,1938.0,2006.0
sim_agricultural-history,Agricultural History,,1927.0,2015.0
sim_agricultural-history-review,Agricultural History Review,,1953.0,2011.0
sim_agricultural-history-series,Agricultural History Series,,1941.0,1943.0
sim_agricultural-marketing,Agricultural Marketing,,1956.0,1971.0
sim_agricultural-museum,Agricultural Museum,,1810.0,1812.0
sim_agricultural-outlook,Agricultural Outlook,,1978.0,2002.0
sim_agricultural-outlook-digest,Agricultural Outlook Digest,,1974.0,1975.0
sim_agricultural-research,Agricultural Research,,1953.0,2012.0
sim_agricultural-science-review,Agricultural Science Review,,1963.0,1973.0
sim_agricultural-situation,Agricultural Situation,,1922.0,1979.0
sim_agricultural-statistics,Agricultural Statistics,1996; ,1936.0,2009.0
